Date,market_ret
2010-01-04,0.0
2010-01-05,0.007916031445393521
2010-01-06,0.0034532599547926514
2010-01-07,0.00456973090383738
2010-01-08,0.0049725429668659215
2010-01-11,-0.0005378328999693968
2010-01-12,-0.01390498957251107
2010-01-13,0.010284906564146528
2010-01-14,0.001533560553645882
2010-01-15,-0.012559776586283272
2010-01-19,0.012504813959073638
2010-01-20,-0.011391707466949851
2010-01-21,-0.020449285083821923
2010-01-22,-0.026043103897832
2010-01-25,0.004787316993697212
2010-01-26,-0.004920797459841232
2010-01-27,0.005338402088928141
2010-01-28,-0.013379491692743595
2010-01-29,-0.01526404307837495
2010-02-01,0.01983212397046115
2010-02-02,0.012745177482112726
2010-02-03,-0.004200753401322961
2010-02-04,-0.03598939341738024
2010-02-05,0.0065413061833882475
2010-02-08,-0.009375685428104538
2010-02-09,0.015325797031285183
2010-02-10,-0.0015673660656525038
2010-02-11,0.014886403196124913
2010-02-12,-0.0012390838828793824
2010-02-16,0.020122897909642282
2010-02-17,0.00396769093721656
2010-02-18,0.006073200105265816
2010-02-19,0.0021164999136115675
2010-02-22,-0.0013915500610238575
2010-02-23,-0.01591455396473831
2010-02-24,0.009637925468702296
2010-02-25,0.0003456994278352719
2010-02-26,0.003018556257058754
2010-03-01,0.013109692259109304
2010-03-02,0.004188911918813124
2010-03-03,0.0016833511035000226
2010-03-04,0.0031402014700018586
2010-03-05,0.016330828292479706
2010-03-08,0.0009789239148679189
2010-03-09,0.0009664925516528427
2010-03-10,0.007081773648398829
2010-03-11,0.0037303238360202632
2010-03-12,0.00121136092463368
2010-03-15,-0.0026898742361804286
2010-03-16,0.010009444331279364
2010-03-17,0.0049489351400734405
2010-03-18,-0.003178716890817028
2010-03-19,-0.00841140083607486
2010-03-22,0.007500676047959904
2010-03-23,0.008461067631879935
2010-03-24,-0.00499548263782915
2010-03-25,-0.00441426841921918
2010-03-26,0.004167134992544702
2010-03-29,0.007910095973808227
2010-03-30,-6.0998320353616465e-05
2010-03-31,-0.0027080847031353402
2010-04-01,0.007754480197735438
2010-04-05,0.0116133561339775
2010-04-06,0.002553500305087509
2010-04-07,-0.004528890725982648
2010-04-08,0.0034845731599593118
2010-04-09,0.005612715547131576
2010-04-12,0.0024941925214334907
2010-04-13,-0.00014139056393800616
2010-04-14,0.013624678964701159
2010-04-15,0.0008158625575770689
2010-04-16,-0.020110244410280923
2010-04-19,0.0006992589825813946
2010-04-20,0.010141778892844497
2010-04-21,-0.00047473795204660147
2010-04-22,0.00595662573655906
2010-04-23,0.00810370048223789
2010-04-26,-0.0038728746129557227
2010-04-27,-0.026920870317600792
2010-04-28,0.007666459698890717
2010-04-29,0.012809013561647578
2010-04-30,-0.02079696472799019
2010-05-03,0.013106561621487673
2010-05-04,-0.02794154388369108
2010-05-05,-0.007828921224964055
2010-05-06,-0.034265530205013106
2010-05-07,-0.017231024916590374
2010-05-10,0.04858356412304354
2010-05-11,-0.003717669773115227
2010-05-12,0.017691140420069976
2010-05-13,-0.01263458134013206
2010-05-14,-0.021127856776439916
2010-05-17,-0.002250023648227501
2010-05-18,-0.01632975744554115
2010-05-19,-0.006048881718053632
2010-05-20,-0.042218077140823373
2010-05-21,0.01969556830490831
2010-05-24,-0.01428539598814324
2010-05-25,0.004302893877002359
2010-05-26,-0.003985333217963023
2010-05-27,0.03895950250335269
2010-05-28,-0.013555898338759483
2010-06-01,-0.022571807378984503
2010-06-02,0.029764638691356697
2010-06-03,0.004775324571603759
2010-06-04,-0.036372288043435654
2010-06-07,-0.018504004992050318
2010-06-08,0.009854197541542854
2010-06-09,-0.006987381164288252
2010-06-10,0.03319979008938294
2010-06-11,0.0077708894982027555
2010-06-14,-0.001885538836873503
2010-06-15,0.02754487947811207
2010-06-16,-0.00019444030454981458
2010-06-17,0.00044080286075914263
2010-06-18,0.002444252078414341
2010-06-21,-0.004513376603093021
2010-06-22,-0.017805669065500747
2010-06-23,-0.0020252361262387687
2010-06-24,-0.019792005821041275
2010-06-25,0.005729299421902284
2010-06-28,-0.005969577996720674
2010-06-29,-0.03833397967558926
2010-06-30,-0.011001902191180675
2010-07-01,-0.0029328687758662904
2010-07-02,-0.006125744573838301
2010-07-06,0.004289909973696626
2010-07-07,0.037234713243067034
2010-07-08,0.008694215843322764
2010-07-09,0.010673595115528761
2010-07-12,-0.0010139705555657756
2010-07-13,0.016142108942065463
2010-07-14,0.00037087783022355823
2010-07-15,0.0010322127010738325
2010-07-16,-0.031074572898244984
2010-07-19,0.00428385000564725
2010-07-20,0.016285188514553732
2010-07-21,-0.012404580693600346
2010-07-22,0.024008176450797933
2010-07-23,0.010115672719517273
2010-07-26,0.010712367028644849
2010-07-27,-0.004233706976818506
2010-07-28,-0.007423835637216969
2010-07-29,-0.0027297688650356512
2010-07-30,0.0006727020206696389
2010-08-02,0.023361801273295995
2010-08-03,-0.005590204065300363
2010-08-04,0.00967029250684944
2010-08-05,-0.0014613447743806848
2010-08-06,-0.0038257055530116603
2010-08-09,0.006798354485089128
2010-08-10,-0.008634870942393293
2010-08-11,-0.030499781678703704
2010-08-12,-0.004177275944176322
2010-08-13,-0.004913308933111456
2010-08-16,0.0004425423690421474
2010-08-17,0.015172163104406755
2010-08-18,0.0031055859454919583
2010-08-19,-0.01689417014459136
2010-08-20,-0.0035148474352236837
2010-08-23,-0.006757536912460919
2010-08-24,-0.017953310120681795
2010-08-25,0.004790503461004318
2010-08-26,-0.008926662396534217
2010-08-27,0.018533289967760023
2010-08-30,-0.015063650103032948
2010-08-31,-0.0015194443068163182
